2019-03-16 13:05:50.2153 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 13:05:51.1361 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 13:06:27.1861 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 13:06:27.7548 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 13:10:56.5288 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 13:10:57.7665 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 13:11:29.6241 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 13:11:30.8530 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 13:11:38.8198 | INFO | AspNetApp.MvcApplication | Application Error
2019-03-16 13:16:23.6075 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 13:16:25.1015 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 13:42:10.9393 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 13:42:11.1437 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 14:18:09.7639 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 14:18:10.1422 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 14:20:57.3740 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 14:20:58.2204 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 14:21:02.2402 | INFO | AspNetApp.MvcApplication | Application Error
2019-03-16 14:23:36.9353 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 14:23:37.5890 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 14:39:43.5700 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 14:39:44.2163 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-16 15:01:17.1991 | INFO | AspNetApp.MvcApplication | Application started
2019-03-16 15:01:17.3747 | INFO | AspNetApp.Controllers.HomeController | App started
