2019-05-29 00:30:21.0382 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 00:30:21.0382 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 00:30:21.6462 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 00:59:09.2048 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-29 01:01:33.9698 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 01:01:35.7520 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 01:01:48.6402 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 01:01:48.6402 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 01:01:49.1665 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 01:04:18.0050 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-29 01:10:01.2561 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 01:10:02.9218 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 01:10:10.2756 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 01:10:10.2756 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 01:10:10.6564 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 01:10:32.4722 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-29 11:20:14.7189 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:20:16.6099 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:20:26.2410 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:20:26.2410 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:20:26.6190 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:21:01.3552 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:21:01.7332 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:21:07.4631 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:21:07.4631 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:21:07.9558 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
