2019-06-03 10:41:06.6649 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 10:41:07.5306 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 10:42:13.8148 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 10:42:13.8148 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 10:42:14.4087 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 10:42:16.9745 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 10:42:16.9745 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 10:42:16.9745 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 10:47:45.7926 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 10:47:47.5489 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 10:47:56.0530 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 10:47:56.0530 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 10:47:56.4141 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 10:47:59.1030 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 10:47:59.1030 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 10:47:59.1061 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 10:48:01.3105 | INFO | AspNetApp.MvcApplication | Application Error
2019-06-03 10:48:09.1062 | INFO | AspNetApp.MvcApplication | Application Error
2019-06-03 11:06:20.4692 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:06:22.0723 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:06:29.1169 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:06:29.1278 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:06:29.5697 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:06:31.7071 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:06:31.7071 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:06:31.7071 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:07:11.4608 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:07:11.8617 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:07:19.2585 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:07:19.2625 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:07:19.6884 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:07:21.0089 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:07:21.0089 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:07:21.0129 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:07:48.2646 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:07:48.6859 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:08:54.7390 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:08:54.7390 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:08:55.1652 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:08:56.4115 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:08:56.4115 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:08:56.4115 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:12:16.9207 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:12:17.3196 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:12:22.9290 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:12:22.9290 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:12:23.3828 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:12:24.4081 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:12:24.4081 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:12:24.4081 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:14:48.1877 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:14:48.7721 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:15:30.1373 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:15:30.1373 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:15:30.5663 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:15:31.9721 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:15:31.9721 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:15:31.9721 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:16:15.5998 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:16:15.9807 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:16:20.9500 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:16:20.9500 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:16:21.3898 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:16:22.8950 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:16:22.8950 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:16:22.8950 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:16:58.0231 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:16:59.8852 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:17:54.1033 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:17:54.1053 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:17:54.4785 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:17:56.6159 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:17:56.6159 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:17:56.6159 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:21:37.9115 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:21:39.5272 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:21:46.0975 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:21:46.0975 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:21:46.5009 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:21:48.5424 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:21:48.5424 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:21:48.5424 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:23:16.4007 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:23:18.1421 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:23:25.9455 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:23:25.9455 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:23:26.3365 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:23:28.8436 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:23:28.8436 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:23:28.8436 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:32:44.0891 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:32:45.5403 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:32:52.3365 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:32:52.3395 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:32:52.7264 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:32:54.6012 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:32:54.6012 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:32:54.6012 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:33:39.5302 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:33:40.9791 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:34:38.5116 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:34:38.5116 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:34:38.8796 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:34:41.0221 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:34:41.0221 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:34:41.0221 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:40:12.9332 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:40:14.4689 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:40:22.7045 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:40:22.7045 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:40:23.0975 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:40:26.7053 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:40:26.7053 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:40:26.7053 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:40:29.5225 | INFO | AspNetApp.MvcApplication | Application Error
2019-06-03 11:41:07.1557 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:41:08.7504 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:41:15.5886 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:41:15.5905 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:41:15.9774 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:41:18.1505 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:41:18.1514 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:41:18.1514 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:42:15.8941 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:42:17.3274 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:42:24.2634 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:42:24.2634 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:42:24.6394 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:42:26.9939 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:42:26.9939 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:42:26.9979 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:43:43.9171 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 11:43:44.3330 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 11:43:48.9891 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:43:48.9891 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:43:49.4390 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 11:43:50.7684 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 11:43:50.7684 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 11:43:50.7684 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:20:44.0794 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:20:46.2686 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:20:54.4308 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:20:54.4437 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:20:54.8138 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:20:57.2227 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:20:57.2227 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:20:57.2227 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:22:06.1906 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:22:06.7042 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:22:11.4275 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:22:11.4275 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:22:11.8619 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:22:13.9151 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:22:13.9151 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:22:13.9190 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:25:31.1970 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:25:32.7744 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:25:39.5291 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:25:39.5291 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:25:39.9470 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:25:42.1859 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:25:42.1859 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:25:42.1859 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:30:08.9716 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:30:10.4645 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:30:17.0535 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:30:17.0535 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:30:17.4484 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:30:19.8233 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:30:19.8233 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:30:19.8233 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:32:18.7147 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:32:19.1296 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:32:23.3244 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:32:23.3244 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:32:23.8032 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:32:24.7866 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:32:24.7866 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:32:24.7866 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:33:23.9396 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:33:25.4776 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:33:31.7409 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:33:31.7409 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:33:32.1379 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:33:34.0189 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:33:34.0189 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:33:34.0189 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:49:08.4196 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:49:10.1852 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:50:19.2043 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:50:19.2043 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:50:19.6382 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:50:21.9650 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:50:21.9650 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:50:21.9650 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:54:38.1844 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:54:38.6322 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:54:46.5164 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:54:46.5164 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:54:46.9622 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:54:48.2346 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:54:48.2346 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:54:48.2346 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:56:45.3905 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:56:45.7854 | INFO | AspNetApp.Controllers.HomeController | App started
2019-06-03 13:56:50.8950 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:56:50.8950 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:56:51.3289 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:56:52.2253 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-06-03 13:56:52.2253 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-06-03 13:56:52.2253 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-06-03 13:57:26.8999 | INFO | AspNetApp.MvcApplication | Application started
2019-06-03 13:57:27.3077 | INFO | AspNetApp.Controllers.HomeController | App started
