2019-05-12 16:43:34.5015 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 16:43:36.1958 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 16:46:12.4445 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 16:46:12.7600 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 16:53:15.7155 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 16:53:16.0557 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 16:53:18.4729 | INFO | AspNetApp.Controllers.HomeController | Test form opened
2019-05-12 17:24:29.2723 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:24:29.4300 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:24:40.9791 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-12 17:24:42.7677 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-12 17:24:43.9507 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:25:23.8422 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:25:24.0097 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:25:49.3165 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:25:49.6600 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:27:51.5247 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:27:51.6851 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:27:53.7379 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:27:55.0738 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-12 17:28:43.5745 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:28:43.7311 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:49:41.6550 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:49:41.8132 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:50:17.7089 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:50:17.8727 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:52:43.5975 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:52:43.9315 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:53:25.8416 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:53:26.1767 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:53:29.3310 | INFO | AspNetApp.Controllers.HomeController | Test form opened
2019-05-12 17:56:56.6571 | INFO | AspNetApp.MvcApplication | Application started
2019-05-12 17:56:56.9942 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-12 17:57:42.1532 | INFO | AspNetApp.MvcApplication | Application started
