2019-03-17 09:52:38.8554 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 09:52:40.1981 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-17 09:54:05.4243 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 09:54:05.7354 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-17 09:57:19.0147 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 09:57:19.2301 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-17 09:58:06.6108 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 09:58:07.0665 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-17 09:58:23.0861 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 09:58:23.5359 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-17 10:41:01.6679 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 10:41:03.8663 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-17 10:42:13.4614 | INFO | AspNetApp.MvcApplication | Application started
2019-03-17 10:42:13.9282 | INFO | AspNetApp.Controllers.HomeController | App started
