2019-04-01 11:09:00.6738 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 11:09:02.3485 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 11:10:09.1145 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 11:10:09.2871 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 11:11:28.7795 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 11:11:28.9460 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 11:12:07.7607 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 11:12:07.9243 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 22:27:44.9953 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 22:27:46.0422 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 22:33:20.5895 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 22:33:21.5356 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 22:36:55.3614 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 22:36:56.0650 | INFO | AspNetApp.Controllers.HomeController | App started
2019-04-01 22:38:16.0004 | INFO | AspNetApp.MvcApplication | Application started
2019-04-01 22:38:16.2088 | INFO | AspNetApp.Controllers.HomeController | App started
